para,word
1,letzte
1,überarbeitung
1,21
1,dezember
1,2009
1,für
1,nutzer
1,mit
1,wohnsitz
1,in
1,deutschland
1,1
1,ziffer
1,2
1,gilt
1,mit
1,der
1,maßgabe
1,dass
1,unsere
1,nutzung
1,dieser
1,inhalte
1,auf
1,die
1,verwendung
1,auf
1,oder
1,in
1,verbindung
1,mit
1,facebook
1,beschränkt
1,ist
1,2
1,ziffer
1,15.1
1,wird
1,ersetzt
1,durch
1,diese
1,erklärung
1,unterliegt
1,deutschem
1,recht
1,3
1,ziffer
1,15.3
1,wird
1,ersetzt
1,durch
1,wir
1,sind
1,ausschließlich
1,wie
1,folgt
1,haftbar
1,wir
1,haften
1,unbeschränkt
1,gemäß
1,den
1,gesetzlichen
1,bestimmungen
1,i
1,für
1,schäden
1,die
1,aus
1,der
1,verletzung
1,von
1,leben
1,körper
1,oder
1,gesundheit
1,entstehen
1,ii
1,bei
1,vorsatz
1,iii
1,bei
1,grober
1,fahrlässigkeit
1,und
1,iv
1,gemäß
1,dem
1,produkthaftungsgesetz
1,ohne
1,dass
1,dies
1,das
1,vorstehende
1,einschränkt
1,haften
1,wir
1,für
1,leichte
1,fahrlässigkeit
1,nur
1,im
1,falle
1,der
1,verletzung
1,einer
1,wesentlichen
1,pflicht
1,aus
1,diesem
1,vertrag
1,wesentliche
1,pflichten
1,in
1,diesem
1,sinne
1,sind
1,pflichten
1,die
1,für
1,die
1,erfüllung
1,des
1,vertrags
1,nötig
1,sind
1,deren
1,verletzung
1,die
1,erreichung
1,des
1,vertragszwecks
1,in
1,frage
1,stellen
1,würde
1,und
1,auf
1,deren
1,einhaltung
1,du
1,daher
1,regelmäßig
1,vertrauen
1,darfst
1,in
1,diesen
1,fällen
1,ist
1,die
1,haftung
1,beschränkt
1,auf
1,typische
1,und
1,vorhersehbare
1,schäden
1,in
1,sonstigen
1,fällen
1,besteht
1,keine
1,haftung
1,für
1,leichte
1,fahrlässigkeit
1,4
1,abweichend
1,von
1,ziffer
1,13
1,treten
1,änderungen
1,30
1,tage
1,nach
1,dem
1,datum
1,in
1,kraft
1,an
1,dem
1,wir
1,über
1,die
1,geplanten
1,änderungen
1,informiert
1,haben
1,wenn
1,du
1,die
1,änderungen
1,nicht
1,akzeptieren
1,möchtest
1,musst
1,du
1,dein
1,konto
1,löschen
1,und
1,wenn
1,du
1,dies
1,nicht
1,tust
1,gilt
1,das
1,als
1,annahme
1,der
1,änderungen
1,wir
1,werden
1,dich
1,in
1,unserer
1,die
1,änderungen
1,ankündigenden
1,e
1,mail
1,auf
1,diese
1,30
1,tages
1,frist
1,und
1,ihre
1,bedeutung
1,besonders
1,hinweisen
